dominio,imagen,unsharp,secuencia,componentes,pequenas,area,estabilidad,comp_base
clima,clima_05_hurricane_michael.jpg,True,ap>ci,11,0.7272727272727273,41.086424651193546,0.9773477890825024,339
clima,clima_05_hurricane_michael.jpg,True,ci>ap,12,0.5833333333333334,69.20841690728618,0.9681869696571602,339
clima,clima_06_lake_chad_1973_2007.jpg,False,ninguna,253,0.9920948616600791,60.436106727965765,0.888599461378997,253
clima,clima_06_lake_chad_1973_2007.jpg,False,apertura,13,0.46153846153846156,53.01592867486152,0.8627123428331362,253
clima,clima_06_lake_chad_1973_2007.jpg,False,cierre,7,0.8571428571428571,67.9056357508815,0.9127147490455902,253
clima,clima_06_lake_chad_1973_2007.jpg,False,ap>ci,7,0.2857142857142857,53.60684160286755,0.8642799927774535,253
clima,clima_06_lake_chad_1973_2007.jpg,False,ci>ap,4,0.0,66.94523990415522,0.9088131131916953,253
clima,clima_06_lake_chad_1973_2007.jpg,True,ninguna,553,0.9945750452079566,59.949739933376186,0.891558407537381,253
clima,clima_06_lake_chad_1973_2007.jpg,True,apertura,9,0.3333333333333333,47.369138760641306,0.8139021161157055,253
clima,clima_06_lake_chad_1973_2007.jpg,True,cierre,19,0.9473684210526315,73.20826758615316,0.9326545393952559,253
clima,clima_06_lake_chad_1973_2007.jpg,True,ap>ci,5,0.0,48.41589880453769,0.8247466942895677,253
clima,clima_06_lake_chad_1973_2007.jpg,True,ci>ap,2,0.0,72.46800303898078,0.9310443461421137,253
clima,clima_07_pasterze_glacier.jpg,False,ninguna,123,0.983739837398374,61.84632352941176,0.9914872954063975,123
clima,clima_07_pasterze_glacier.jpg,False,apertura,9,0.3333333333333333,57.093014705882354,0.9917769658958447,123
clima,clima_07_pasterze_glacier.jpg,False,cierre,29,0.9655172413793104,67.44742647058824,0.993200057008591,123
clima,clima_07_pasterze_glacier.jpg,False,ap>ci,5,0.4,59.52499999999999,0.9943428306974437,123
clima,clima_07_pasterze_glacier.jpg,False,ci>ap,5,0.0,66.6422794117647,0.9932291868990865,123
clima,clima_07_pasterze_glacier.jpg,True,ninguna,434,0.9953917050691244,59.96654411764706,0.9844753784357438,123
clima,clima_07_pasterze_glacier.jpg,True,apertura,21,0.3333333333333333,48.659558823529416,0.9782918989621057,123
clima,clima_07_pasterze_glacier.jpg,True,cierre,63,0.9682539682539683,70.40698529411765,0.9878294806122586,123
clima,clima_07_pasterze_glacier.jpg,True,ap>ci,7,0.2857142857142857,51.83014705882353,0.981830437761138,123
clima,clima_07_pasterze_glacier.jpg,True,ci>ap,8,0.25,69.2014705882353,0.9874781965592682,123
clima,clima_08_san_martinho_madeira.jpg,False,ninguna,733,0.9727148703956344,30.699869791666668,0.9569214147442083,733
clima,clima_08_san_martinho_madeira.jpg,False,apertura,52,0.7115384615384616,13.1142578125,0.9070328240516625,733
clima,clima_08_san_martinho_madeira.jpg,False,cierre,72,0.9583333333333334,46.4716796875,0.955689493198404,733
clima,clima_08_san_martinho_madeira.jpg,False,ap>ci,39,0.6923076923076923,13.528645833333334,0.9117860879694887,733
clima,clima_08_san_martinho_madeira.jpg,False,ci>ap,15,0.3333333333333333,43.851888020833336,0.9541726915964809,733
clima,clima_08_san_martinho_madeira.jpg,True,ninguna,1267,0.9731649565903709,23.0,0.9356381446048087,733
clima,clima_08_san_martinho_madeira.jpg,True,apertura,20,0.9,5.273111979166667,0.7532699376924032,733
clima,clima_08_san_martinho_madeira.jpg,True,cierre,81,0.9753086419753086,44.11263020833333,0.9328616116018992,733
clima,clima_08_san_martinho_madeira.jpg,True,ap>ci,19,0.8947368421052632,5.28515625,0.7649611455104347,733
clima,clima_08_san_martinho_madeira.jpg,True,ci>ap,15,0.3333333333333333,41.4482421875,0.9293044904196387,733
clima,clima_09_larsen_b_collapse.jpg,False,ninguna,331,0.9939577039274925,63.93412001897533,0.9628791882204003,331
clima,clima_09_larsen_b_collapse.jpg,False,apertura,25,0.52,55.89747390891841,0.9494914451372433,331
clima,clima_09_larsen_b_collapse.jpg,False,cierre,46,0.9782608695652174,69.89178130929791,0.9668187549462042,331
clima,clima_09_larsen_b_collapse.jpg,False,ap>ci,6,0.3333333333333333,58.16828747628083,0.9500967555291261,331
clima,clima_09_larsen_b_collapse.jpg,False,ci>ap,8,0.25,68.57596062618596,0.9643550726799024,331
clima,clima_09_larsen_b_collapse.jpg,True,ninguna,588,0.9948979591836735,62.580941650853894,0.9600512587230058,331
clima,clima_09_larsen_b_collapse.jpg,True,apertura,43,0.7209302325581395,48.44342979127135,0.9342753651860175,331
