metodo,semilla,precision,exhaustividad,f1
Black-hat r=6,20,0.9877408056042032,0.9440227703984819,0.965387093249893
Canny (mejor umbral),20,0.0755447247706422,0.9127134724857685,0.13953982524960523
Sobel,21,0.63125,0.7504743833017078,0.6857184546846299
Gradiente morfologico (r=1),21,0.5813630041724618,0.6840607210626186,0.628544554527221
Black-hat r=4,21,0.9253996447602132,0.9772296015180265,0.9506086673086098
Black-hat r=6,21,0.9897959183673469,0.9724857685009488,0.981064493210741
Canny (mejor umbral),21,0.07726663689146941,0.889943074003795,0.1421882091928341
Sobel,22,0.7316666666666667,0.7314990512333965,0.7315828493487962
Gradiente morfologico (r=1),22,0.5917808219178082,0.7258064516129032,0.6519770600659102
Black-hat r=4,22,0.8771331058020477,0.920303605313093,0.8981999250564281
Black-hat r=6,22,0.9652061855670103,0.9990512333965844,0.9818371267051482
Canny (mejor umbral),22,0.07302203131495082,0.8851992409867173,0.13491465606888675
Sobel,23,0.6365217391304347,0.6214421252371917,0.6288915501136805
Gradiente morfologico (r=1),23,0.5006485084306096,0.6698292220113852,0.5730121849927292
Black-hat r=4,23,0.8745762711864407,0.9468690702087287,0.9092880273751854
Black-hat r=6,23,0.9227799227799228,0.9800759013282733,0.9505653061965963
Canny (mejor umbral),23,0.07324343506032648,0.9193548387096774,0.13567766176060067
Sobel,24,0.657487091222031,0.6337760910815939,0.6454138928790453
Gradiente morfologico (r=1),24,0.5247524752475248,0.6432637571157496,0.5779958179181154
Black-hat r=4,24,0.8946428571428572,0.9478178368121443,0.920463009450587
Black-hat r=6,24,0.9879725085910653,0.9629981024667932,0.9753254566414894
Canny (mejor umbral),24,0.07717717717717718,0.8785578747628083,0.14188998640003897
Sobel,25,0.6632390745501285,0.7874762808349146,0.7200379285875043
Gradiente morfologico (r=1),25,0.6211072664359861,0.6518026565464896,0.6360848618642743
Black-hat r=4,25,0.9010791366906474,0.9705882352941176,0.9345429879594802
Black-hat r=6,25,0.9716193656093489,0.9667931688804554,0.9692002591902723
Canny (mejor umbral),25,0.07585911877940966,0.9136622390891841,0.14008714772675362
Sobel,26,0.589711417816813,0.7201138519924098,0.6484213893804299
Gradiente morfologico (r=1),26,0.5306122448979592,0.6650853889943074,0.5902871115568394
Black-hat r=4,26,0.855379188712522,0.952561669829222,0.9013584979698066
Black-hat r=6,26,0.986644407345576,0.9838709677419355,0.9852557357779125
Canny (mejor umbral),26,0.07956573468173705,0.9070208728652751,0.14629791559923236
Sobel,27,0.6338383838383839,0.7390891840607211,0.6824294374888143
Gradiente morfologico (r=1),27,0.5260180995475113,0.7191650853889943,0.6076115643919953
Black-hat r=4,27,0.9001782531194296,0.9402277039848197,0.9197672164013156
Black-hat r=6,27,0.9470284237726099,0.99146110056926,0.9687355350782779
Canny (mejor umbral),27,0.07542208690838638,0.9098671726755219,0.13929732878958123
Sobel,28,0.6571428571428571,0.6944971537001897,0.6753038385940212
Gradiente morfologico (r=1),28,0.5083102493074793,0.6973434535104365,0.5880076905633126
Black-hat r=4,28,0.961439588688946,0.9070208728652751,0.9334377610688404
Black-hat r=6,28,0.9948186528497409,0.9753320683111955,0.984978990547742
Canny (mejor umbral),28,0.07194924406047516,0.9060721062618596,0.1333124334929315
Sobel,29,0.6886304909560723,0.7979127134724858,0.7392546977193315
Gradiente morfologico (r=1),29,0.5984455958549223,0.75426944971537,0.667382582529706
Black-hat r=4,29,0.9283216783216783,0.9629981024667932,0.9453420027462567
Black-hat r=6,29,0.9735516372795969,0.9971537001897534,0.9852113342172832
Canny (mejor umbral),29,0.07870716743977256,0.9146110056925996,0.14494135618243773
