dominio,imagen,filtro,ruido_rel,epi,ssim,fom
tiroides,tiroides_707.png,gauss s=1.6,0.447832022508552,0.4580903947353363,0.9218009820646048,0.25294284676926976
tiroides,tiroides_707.png,gauss s=2.0,0.44199347323960764,0.3903529942035675,0.8832862414938333,0.2178195185060523
tiroides,tiroides_708.png,media k=3,0.254807774596367,0.6442772150039673,0.9260905985604911,0.4801103716256613
tiroides,tiroides_708.png,media k=5,0.1596535712626506,0.07470843195915222,0.7594031304395472,0.06278096399344082
tiroides,tiroides_708.png,mediana k=3,1.1925616116467348,0.6662721037864685,0.9409351011901572,-0.12829843010038294
tiroides,tiroides_708.png,mediana k=5,0.7341927217689187,0.4134461283683777,0.7981406655266499,0.10989699007677672
tiroides,tiroides_708.png,gauss s=0.5,0.6374638423563413,0.9838213920593262,0.991859300901782,0.3566708272848236
tiroides,tiroides_708.png,gauss s=0.6,0.4690541918415152,0.9525651931762695,0.9788067313547321,0.5057604963146176
tiroides,tiroides_708.png,gauss s=0.8,0.30098197191501636,0.8634616136550903,0.9473383382922298,0.6035752345042592
tiroides,tiroides_708.png,gauss s=1.0,0.2180596274081663,0.76043301820755,0.9088390321854464,0.5946132775883444
tiroides,tiroides_708.png,gauss s=1.2,0.1790081496822529,0.6693456172943115,0.867499162212557,0.5495272968445315
tiroides,tiroides_708.png,gauss s=1.6,0.15077278940174538,0.4801112711429596,0.7783064417558485,0.40772355556951784
tiroides,tiroides_708.png,gauss s=2.0,0.1458922716169527,0.36757999658584595,0.705477574119909,0.31395291588298513
tiroides,tiroides_709.png,media k=3,0.5664431292323513,0.472867876291275,0.9844783409117279,0.2050151167313888
tiroides,tiroides_709.png,media k=5,0.5299560218359242,0.1734710931777954,0.9618499350741969,0.08153904273376203
tiroides,tiroides_709.png,mediana k=3,1.031432900480259,0.9441267251968384,0.9933538498909686,-0.029676641393864993
tiroides,tiroides_709.png,mediana k=5,1.0120994650417354,0.9021275639533997,0.9833089507019197,-0.010915260923240097
tiroides,tiroides_709.png,gauss s=0.5,0.7541817545318295,0.9751312732696533,0.9969039249157613,0.23970505869628933
tiroides,tiroides_709.png,gauss s=0.6,0.6436729424892516,0.9237785935401917,0.9936139687561671,0.3291673080275942
tiroides,tiroides_709.png,gauss s=0.8,0.5703240381144088,0.7839306592941284,0.9878940468089348,0.3368361600838103
tiroides,tiroides_709.png,gauss s=1.0,0.5477824940651357,0.6554638147354126,0.981968727893313,0.29641221153020025
tiroides,tiroides_709.png,gauss s=1.2,0.5376850200746097,0.5738662481307983,0.9755668773734557,0.26530696298444906
tiroides,tiroides_709.png,gauss s=1.6,0.5236327932698093,0.4570024609565735,0.9593240872111136,0.21770098579470595
tiroides,tiroides_709.png,gauss s=2.0,0.5209142425800523,0.39981091022491455,0.9393779741869939,0.19154371274986193
tiroides,tiroides_710.png,media k=3,0.4742096931703628,0.456379234790802,0.9741362806614997,0.23995977789133083
tiroides,tiroides_710.png,media k=5,0.4235623267389113,0.19778531789779663,0.9142262315122403,0.11401090845421066
tiroides,tiroides_710.png,mediana k=3,1.3733678017893145,0.9207274317741394,0.9852248546826791,-0.34376997724863145
tiroides,tiroides_710.png,mediana k=5,1.232634513608871,0.8704445362091064,0.9466323589191212,-0.20249544130450478
tiroides,tiroides_710.png,gauss s=0.5,0.723788353704637,0.9766155481338501,0.9958820076115502,0.26975258834769905
tiroides,tiroides_710.png,gauss s=0.6,0.5932105279737904,0.9288672804832458,0.9908298530374757,0.37785343061020077
tiroides,tiroides_710.png,gauss s=0.8,0.49075022051411293,0.7935142517089844,0.9803427766048969,0.40409695770170895
tiroides,tiroides_710.png,gauss s=1.0,0.4539972120715726,0.6651873588562012,0.9672020893100369,0.3631941524302331
tiroides,tiroides_710.png,gauss s=1.2,0.4372342017389113,0.5836334228515625,0.9511480610491102,0.3284489291029111
tiroides,tiroides_710.png,gauss s=1.6,0.41823651713709675,0.4685018062591553,0.9089917745212096,0.2725572425368873
tiroides,tiroides_710.png,gauss s=2.0,0.4084059192288306,0.4080792963504791,0.8623434654464015,0.2414172962062073
tiroides,tiroides_712.png,media k=3,0.2676892246030522,0.5884901881217957,0.9418819856064609,0.43095770597696786
tiroides,tiroides_712.png,media k=5,0.18409561598112612,0.03953750431537628,0.8284322558370205,0.03225882310408065
tiroides,tiroides_712.png,mediana k=3,1.185866716711014,0.7281303405761719,0.9613544079552423,-0.13533519574056546
tiroides,tiroides_712.png,mediana k=5,0.8827320192223912,0.5124310851097107,0.872434281129545,0.06009175863849477
tiroides,tiroides_712.png,gauss s=0.5,0.6416595733272564,0.9841145873069763,0.9929456180092819,0.35264804111045284
tiroides,tiroides_712.png,gauss s=0.6,0.47454105535485686,0.9514335989952087,0.982540113595258,0.49993929482795274
tiroides,tiroides_712.png,gauss s=0.8,0.31010516015308204,0.852213442325592,0.9588298477312411,0.5879376563086051
tiroides,tiroides_712.png,gauss s=1.0,0.23315862494219206,0.7383003830909729,0.9312182264648227,0.566159280975188
tiroides,tiroides_712.png,gauss s=1.2,0.19573762910436257,0.641559898853302,0.9024323709210721,0.515982485323322
tiroides,tiroides_712.png,gauss s=1.6,0.1733483689787602,0.45537716150283813,0.8400441236838386,0.3764382732861437
tiroides,tiroides_712.png,gauss s=2.0,0.16811381961246905,0.3547924757003784,0.7851647330490205,0.2951469574406237
tiroides,tiroides_715.png,media k=3,0.6665126050420167,0.5670405626296997,0.9850976622469342,0.18910088006688772
tiroides,tiroides_715.png,media k=5,0.6424789915966386,0.284371554851532,0.9482810411372253,0.10166880505175152
tiroides,tiroides_715.png,mediana k=3,1.3677755808205634,0.6685259342193604,0.988647927963131,-0.245867513751135
tiroides,tiroides_715.png,mediana k=5,1.2550222441917942,0.4880014657974243,0.9584568859350926,-0.12445122897654425
tiroides,tiroides_715.png,gauss s=0.5,0.8264705882352941,0.9573692679405212,0.9981438182962963,0.1661317259073258
tiroides,tiroides_715.png,gauss s=0.6,0.7349802273850716,0.9003596901893616,0.9954082559543317,0.23861312036563195
tiroides,tiroides_715.png,gauss s=0.8,0.6744809688581315,0.7760953307151794,0.989233384527031,0.25263380012813325
tiroides,tiroides_715.png,gauss s=1.0,0.6552298566485417,0.669927716255188,0.9814639166627511,0.23097107476841622
tiroides,tiroides_715.png,gauss s=1.2,0.6520983687592684,0.5882536172866821,0.971848713110399,0.20465439303729774
tiroides,tiroides_715.png,gauss s=1.6,0.6434379634206625,0.44528067111968994,0.9447626308579178,0.15877018294385084
tiroides,tiroides_715.png,gauss s=2.0,0.6382254078101829,0.34482502937316895,0.9122421965635217,0.12474893437831991
tiroides,tiroides_719.png,media k=3,0.4622747025477263,0.4486846923828125,0.9676292556467323,0.24126910967382978
tiroides,tiroides_719.png,media k=5,0.4108498347049782,0.18229493498802185,0.8624117239076574,0.10739909108063832
tiroides,tiroides_719.png,mediana k=3,1.4064007093395625,0.9273951053619385,0.9835219650232664,-0.3768940286571301
tiroides,tiroides_719.png,mediana k=5,1.3233301152001655,0.8584821820259094,0.9173372953296126,-0.27757314281172674
tiroides,tiroides_719.png,gauss s=0.5,0.712575699268831,0.9816502928733826,0.9959031812509963,0.28215014899167923
tiroides,tiroides_719.png,gauss s=0.6,0.5783120328924716,0.941398561000824,0.9901275140100029,0.39697644542639005
tiroides,tiroides_719.png,gauss s=0.8,0.4745958767387483,0.8191688060760498,0.9760152655641038,0.4303946683593532
tiroides,tiroides_719.png,gauss s=1.0,0.4389871207160009,0.6965795159339905,0.9560396383469465,0.39079007988438236
tiroides,tiroides_719.png,gauss s=1.2,0.4248610914197368,0.6117220520973206,0.9307264332905032,0.35182515339773185
tiroides,tiroides_719.png,gauss s=1.6,0.4085161255477015,0.4860869348049164,0.8621503226344825,0.2875125835190538
tiroides,tiroides_719.png,gauss s=2.0,0.40845086270723757,0.41500136256217957,0.789923828760264,0.24549369799897822
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,media k=3,0.120329323297373,0.2117682546377182,0.86117706747665,0.1862863238612958
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,media k=5,0.06419470412133535,-0.045001640915870667,0.768324643737854,-0.04211277389230177
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,mediana k=3,0.4692076547765424,0.4796443283557892,0.871554130680806,0.25459153792109945
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,mediana k=5,0.28772306874132336,0.2985600531101227,0.7828980018752825,0.2126574384257057
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,gauss s=0.5,0.4812240120514771,0.9727041721343994,0.9814303335550802,0.5046155678806732
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,gauss s=0.6,0.2800643528360903,0.912147045135498,0.955311622025474,0.6566871732482727
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,gauss s=0.8,0.12907582362878117,0.736773669719696,0.9074333436084756,0.6416740014726267
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,gauss s=1.0,0.08128094699308623,0.5693783164024353,0.8685068830450807,0.5230987076479163
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,gauss s=1.2,0.06351646477122615,0.4594520330429077,0.8383513398777422,0.4302692641720696
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,gauss s=1.6,0.05280214122950114,0.287287175655365,0.7875343755054471,0.27211779763298594
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,gauss s=2.0,0.051397535408275,0.20636315643787384,0.7528491112233465,0.19575659879789484
clima,clima_02_lyell_glacier_1883_2015.jpg,media k=3,0.09479879323969735,0.001954255625605583,0.6545563201134017,0.0017689945506162842
clima,clima_02_lyell_glacier_1883_2015.jpg,media k=5,0.04008996601929123,-0.054059237241744995,0.5031386654370202,-0.051892004257694635
clima,clima_02_lyell_glacier_1883_2015.jpg,mediana k=3,0.3093896931068003,0.356905072927475,0.6943886340933246,0.2464823219461833
clima,clima_02_lyell_glacier_1883_2015.jpg,mediana k=5,0.1713478331105095,0.264164537191391,0.5533187776104967,0.21890051615900555
clima,clima_02_lyell_glacier_1883_2015.jpg,gauss s=0.5,0.45422181025814584,0.9730379581451416,0.9522703889524934,0.5310628953465654
clima,clima_02_lyell_glacier_1883_2015.jpg,gauss s=0.6,0.24675155927622472,0.9089189767837524,0.8858247985224865,0.6846418020066108
clima,clima_02_lyell_glacier_1883_2015.jpg,gauss s=0.8,0.09300152297204872,0.7078652381896973,0.7713522136011125,0.6420326929790834
clima,clima_02_lyell_glacier_1883_2015.jpg,gauss s=1.0,0.04754584719140453,0.5147855281829834,0.6887477171146058,0.4903096141236488
clima,clima_02_lyell_glacier_1883_2015.jpg,gauss s=1.2,0.03149883190720405,0.39999595284461975,0.6311064192876817,0.38739654756240516
clima,clima_02_lyell_glacier_1883_2015.jpg,gauss s=1.6,0.02166367469635946,0.2436976581811905,0.542675690399391,0.2384182713900886
clima,clima_02_lyell_glacier_1883_2015.jpg,gauss s=2.0,0.02022821232162785,0.1676539033651352,0.4874951712613659,0.16426256461131555
clima,clima_03_terminal_moraine.jpg,media k=3,0.10751926746911424,0.1028406023979187,0.7363033774331962,0.09178325616201205
clima,clima_03_terminal_moraine.jpg,media k=5,0.054300691930647516,-0.04812625050544739,0.5822469609620452,-0.04551296180297392
