dominio,imagen,etapa,rms,c_local,entropia,nitidez,ruido,borde_p95,dens_canny
tiroides,tiroides_703.png,original,0.2890097452608796,0.09643599390983582,7.191890648342189,661.6865052880701,2.2927950474671333,188.00265502929688,0.1394070400280899
tiroides,tiroides_703.png,suavizada,0.2843895225654312,0.08790396898984909,7.218885607008729,102.26440018684089,0.39771593266394384,175.82803344726562,0.06812895014044944
tiroides,tiroides_703.png,suavizada+unsharp,0.29377370790152707,0.10427425801753998,7.058119978593804,370.5685543854449,0.8326361380426509,223.27113342285156,0.14161253511235955
tiroides,tiroides_705.png,original,0.2515310227950887,0.08940692991018295,7.041880216750273,443.91347561501453,0.5093997122807393,198.722412109375,0.08616160875726922
tiroides,tiroides_705.png,suavizada,0.24543356500909755,0.082807257771492,7.036835276135976,114.30237066279004,0.2908918620512006,203.7861785888672,0.06057884963104139
tiroides,tiroides_705.png,suavizada+unsharp,0.25877539555981927,0.1000843197107315,7.130012009094644,364.729401843505,0.6484222775396713,242.8513946533203,0.11387015589112055
tiroides,tiroides_706.png,original,0.1742964767409208,0.07975401729345322,6.928283298806939,530.0612445764502,0.49308047486815126,145.36781311035156,0.04605422905706192
tiroides,tiroides_706.png,suavizada,0.16695980142044428,0.07378818094730377,6.921196158507531,89.64467318688689,0.3055020373727829,156.11534118652344,0.03634156212059895
tiroides,tiroides_706.png,suavizada+unsharp,0.18132828351133248,0.08986639231443405,7.017842647718677,296.7933343249986,0.6966613562447044,187.36862182617188,0.07021760109578806
tiroides,tiroides_707.png,original,0.1657578181414247,0.07501869648694992,6.915955460268113,356.02221692400997,0.6387121717553087,179.025146484375,0.05214166638315245
tiroides,tiroides_707.png,suavizada,0.15914306610338597,0.06901085376739502,6.920012041282248,83.88708132626094,0.32799591161410163,177.79200744628906,0.04237063246351172
tiroides,tiroides_707.png,suavizada+unsharp,0.17383662556252774,0.08486805856227875,6.9468857279228455,276.1909028673538,0.768271490567499,223.6389923095703,0.0713639301874596
tiroides,tiroides_708.png,original,0.2892037931756405,0.11238795518875122,7.447367539664271,727.9036469062639,1.7358245883041485,259.42401123046875,0.2548277243589744
tiroides,tiroides_708.png,suavizada,0.2833183606079631,0.10032035410404205,7.472956097157301,155.3357747379782,0.5224519074863541,205.99539184570312,0.19157652243589743
tiroides,tiroides_708.png,suavizada+unsharp,0.29811393864526525,0.1274619698524475,7.355488950420936,554.5730232731345,1.101939391447515,308.24017333984375,0.25166266025641026
tiroides,tiroides_709.png,original,0.25688199174994913,0.06479529291391373,6.6879834767619775,323.56920671843665,0.4279206193635682,105.60302734375,0.021156621156621157
tiroides,tiroides_709.png,suavizada,0.2528036519162602,0.060855790972709656,6.752922123027083,82.64444876108462,0.24405341562784907,117.1755142211914,0.019158619158619158
tiroides,tiroides_709.png,suavizada+unsharp,0.2588915089764553,0.06952651590108871,6.547488396481302,272.8546398009127,0.5768635289859388,126.7517318725586,0.026484626484626485
tiroides,tiroides_710.png,original,0.28294437172327364,0.11144504696130753,7.549259804582073,451.8895170572418,0.6828070541483424,250.31980895996094,0.09379200509635292
tiroides,tiroides_710.png,suavizada,0.2773805088805654,0.10446517914533615,7.531508892521314,111.4659399209772,0.3350877123918909,233.65786743164062,0.07301162605510432
tiroides,tiroides_710.png,suavizada+unsharp,0.29242565815634053,0.12431804835796356,7.566504765866188,355.79224080068707,0.7677223624905211,299.132080078125,0.12345914954610607
tiroides,tiroides_712.png,original,0.32860192871055754,0.13867168128490448,7.417370590828387,867.512536215865,1.4814475943878784,336.5853576660156,0.1740503368263473
tiroides,tiroides_712.png,suavizada,0.3219046372758836,0.1279783546924591,7.478093205683227,176.59047211075253,0.45940454351605114,284.5178527832031,0.12684786676646706
tiroides,tiroides_712.png,suavizada+unsharp,0.3401046994729951,0.15503694117069244,7.283607577112727,620.4029610741327,0.993499063418884,393.0287780761719,0.18189792290419163
tiroides,tiroides_715.png,original,0.21629240079769196,0.040309660136699677,7.00822538584207,44.253374653376376,0.43898272947915973,88.76936340332031,0.03190673495123144
tiroides,tiroides_715.png,suavizada,0.2154794988550806,0.0376521460711956,6.999779071153583,13.15143528130679,0.2960854966910907,79.64923095703125,0.01897727565174872
tiroides,tiroides_715.png,suavizada+unsharp,0.21804799824758328,0.046579331159591675,6.99411274795871,44.39911867850241,0.6692555360942571,106.73331451416016,0.04893326813701521
tiroides,tiroides_719.png,original,0.26120415241323336,0.11476591229438782,7.484137153887255,592.4917015061654,0.6504770198851907,248.24423217773438,0.16809373591707977
tiroides,tiroides_719.png,suavizada,0.25425554910593234,0.10518219321966171,7.450458145486125,136.38886278048176,0.3087137115508203,230.2772216796875,0.12408222692134364
tiroides,tiroides_719.png,suavizada+unsharp,0.2718853847977631,0.13199593126773834,7.573629204667461,462.3804350132513,0.7125022874280793,308.2336730957031,0.19903629493534855
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,original,0.4094377295484719,0.07365866005420685,5.165777460865641,1650.00594905191,3.686124454257162,291.3319396972656,0.109306640625
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,suavizada,0.40659852572427563,0.06449858099222183,5.474894140090887,346.2354753099971,1.0323520597548188,222.04953002929688,0.079580078125
clima,clima_01_red_eagle_logan_glaciers_1914.jpg,suavizada+unsharp,0.4144473484282694,0.08407239615917206,5.155332299317056,1324.149930066893,2.2188463935570755,353.88800048828125,0.134697265625
clima,clima_02_lyell_glacier_1883_2015.jpg,original,0.3120150446532887,0.143076092004776,7.554223870341283,8719.400214780271,12.68218138968772,449.73992919921875,0.2340841697080292
clima,clima_02_lyell_glacier_1883_2015.jpg,suavizada,0.2975989616786234,0.11485511809587479,7.4631914787777305,1419.503350953846,3.1293480329293635,342.84600830078125,0.20865077554744527
clima,clima_02_lyell_glacier_1883_2015.jpg,suavizada+unsharp,0.32672743731882287,0.16265372931957245,7.529668698967583,5433.605796626053,6.449593627618381,569.0099487304688,0.2560276003649635
clima,clima_03_terminal_moraine.jpg,original,0.28865930484300995,0.08565183728933334,7.723575238587854,2714.860317740209,6.985098460245976,263.0787048339844,0.22001043296817946
clima,clima_03_terminal_moraine.jpg,suavizada,0.2834037206692867,0.06999042630195618,7.637635670834113,486.69844235741544,1.846547470897601,197.30712890625,0.18190401669274908
clima,clima_03_terminal_moraine.jpg,suavizada+unsharp,0.29643018057596443,0.10138171911239624,7.752276197149761,1882.2140317982664,3.7646675557673612,348.0,0.2450339071465832
clima,clima_04_brevent_chamonix.jpg,original,0.21627527462049162,0.08166170865297318,7.539338577481995,2521.708149889639,6.091239210907094,293.87548828125,0.19489168618266978
clima,clima_04_brevent_chamonix.jpg,suavizada,0.2095194124816872,0.06770297139883041,7.514628140392379,460.3121978416677,1.630975458105178,223.2583770751953,0.15916642271662765
clima,clima_04_brevent_chamonix.jpg,suavizada+unsharp,0.2265720273426783,0.09847360849380493,7.545667186400876,1772.9838999764502,3.341551655764438,383.67694091796875,0.22158957845433255
clima,clima_05_hurricane_michael.jpg,original,0.227586881213908,0.09903915971517563,7.569113238398216,3509.1149116041465,7.000116859882603,336.59991455078125,0.20771892702065287
clima,clima_05_hurricane_michael.jpg,suavizada,0.21818832708312025,0.08154451847076416,7.5075177063728615,673.8042554213504,1.8675372761765288,258.14996337890625,0.17468976613987525
clima,clima_05_hurricane_michael.jpg,suavizada+unsharp,0.24325703306786586,0.1209854781627655,7.650196329292611,2586.9519445804017,3.781756893743249,448.7939453125,0.22845628806747634
clima,clima_06_lake_chad_1973_2007.jpg,original,0.24596001685789867,0.09011191129684448,7.540576923671526,4286.462249471344,8.785020582571619,265.54510498046875,0.22091052539302203
clima,clima_06_lake_chad_1973_2007.jpg,suavizada,0.23855229349466373,0.07175813615322113,7.521996065431914,585.5879777255672,2.2154673384396837,191.5254669189453,0.1517022837810635
clima,clima_06_lake_chad_1973_2007.jpg,suavizada+unsharp,0.2501117916884342,0.09958430379629135,7.492472886721284,2309.17780617124,4.45671558047883,328.5361328125,0.27200825979389476
clima,clima_07_pasterze_glacier.jpg,original,0.2508368776569822,0.0848907008767128,7.508965840742107,2132.150122955653,5.431755499560315,275.9746398925781,0.20982720588235293
clima,clima_07_pasterze_glacier.jpg,suavizada,0.2455387577327591,0.07257543504238129,7.453629484538347,412.6821077256569,1.4799966826596105,212.6076202392578,0.16164338235294118
clima,clima_07_pasterze_glacier.jpg,suavizada+unsharp,0.2616385521151019,0.10288619995117188,7.613220236067032,1587.9976016989617,3.002781517583449,366.7428283691406,0.2396764705882353
clima,clima_08_san_martinho_madeira.jpg,original,0.18103999291666648,0.09873543679714203,7.343201575941157,4228.899511862596,6.935259832265307,376.1728210449219,0.19504231770833333
clima,clima_08_san_martinho_madeira.jpg,suavizada,0.16677850709007438,0.08085694909095764,7.263431005822865,798.578011473751,1.8971347321888319,284.7073974609375,0.16728841145833334
clima,clima_08_san_martinho_madeira.jpg,suavizada+unsharp,0.19984267318892143,0.11937375366687775,7.411875838448462,3003.9741488238865,3.909052343943261,489.0014343261719,0.21001627604166667
clima,clima_09_larsen_b_collapse.jpg,original,0.3450213489856168,0.15149973332881927,7.163507494503052,7645.535917102278,9.506482211854436,537.9702758789062,0.20775320208728654
clima,clima_09_larsen_b_collapse.jpg,suavizada,0.3314492947157165,0.12514136731624603,7.301980071130641,1485.5701795227078,2.653806156762958,400.6423645019531,0.18025972485768502
clima,clima_09_larsen_b_collapse.jpg,suavizada+unsharp,0.3552283279077957,0.1710614562034607,6.870901731785247,5631.34734230791,5.690436577326865,658.2037353515625,0.22724146110056925
clima,clima_10_marine_debris.jpg,original,0.2616982427745274,0.11131937801837921,7.819217043229767,3547.791656616168,5.623332300870233,383.2753601074219,0.21146484375
clima,clima_10_marine_debris.jpg,suavizada,0.2522856833298181,0.09362690895795822,7.7821557758389845,772.8058804405106,1.690545001606423,295.60107421875,0.17972981770833332
clima,clima_10_marine_debris.jpg,suavizada+unsharp,0.27980031439952824,0.13713368773460388,7.870753214064641,2944.375268595208,3.4954824601612,510.43902587890625,0.23339192708333334
