caso,sigma,secuencia,radio,semilla,dice,objetos_ok
A,2.0,ap>ci,5,6,0.9765472312703583,1
A,2.0,ci>ap,3,6,0.9607434705976606,1
A,2.0,ci>ap,5,6,0.971169420149012,1
A,1.0,ninguna,5,7,0.9342657342657342,0
A,1.0,apertura,3,7,0.958200382897256,1
A,1.0,apertura,5,7,0.9794184906893172,1
A,1.0,cierre,3,7,0.932899426623276,0
A,1.0,cierre,5,7,0.9259600614439324,0
A,1.0,ap>ci,3,7,0.9568677383415566,1
A,1.0,ap>ci,5,7,0.9795851706679732,1
A,1.0,ci>ap,3,7,0.9574908454067823,1
A,1.0,ci>ap,5,7,0.9678456591639871,1
A,2.0,ninguna,5,7,0.9471531928279333,0
A,2.0,apertura,3,7,0.9531200506810263,1
A,2.0,apertura,5,7,0.975530708151029,1
A,2.0,cierre,3,7,0.9462602137020741,0
A,2.0,cierre,5,7,0.9461284749489556,0
A,2.0,ap>ci,3,7,0.9510113780025284,1
A,2.0,ap>ci,5,7,0.975530708151029,1
A,2.0,ci>ap,3,7,0.9522151898734177,1
A,2.0,ci>ap,5,7,0.9705076551168412,1
A,1.0,ninguna,5,8,0.9316212871287128,0
A,1.0,apertura,3,8,0.9507109004739337,0
A,1.0,apertura,5,8,0.9833115183246073,1
A,1.0,cierre,3,8,0.929794784755439,0
A,1.0,cierre,5,8,0.9228182790768761,0
A,1.0,ap>ci,3,8,0.9499921123205552,0
A,1.0,ap>ci,5,8,0.983477834123998,1
A,1.0,ci>ap,3,8,0.9477494491658798,0
A,1.0,ci>ap,5,8,0.9733742133290302,1
A,2.0,ninguna,5,8,0.9441911649111775,0
A,2.0,apertura,3,8,0.9450653234692271,0
A,2.0,apertura,5,8,0.9762292412894823,1
A,2.0,cierre,3,8,0.9440954773869347,0
A,2.0,cierre,5,8,0.9427450980392157,0
A,2.0,ap>ci,3,8,0.9452658068575024,0
A,2.0,ap>ci,5,8,0.9763958977698193,1
A,2.0,ci>ap,3,8,0.9445230237309445,0
A,2.0,ci>ap,5,8,0.9730869001297017,1
A,1.0,ninguna,5,9,0.934100093254585,0
A,1.0,apertura,3,9,0.9531968903696653,1
A,1.0,apertura,5,9,0.980078380143697,1
A,1.0,cierre,3,9,0.9321771446268194,0
A,1.0,cierre,5,9,0.9288909455498997,0
A,1.0,ap>ci,3,9,0.9524865378523915,1
A,1.0,ap>ci,5,9,0.9802448979591837,1
A,1.0,ci>ap,3,9,0.9511771211881814,1
A,1.0,ci>ap,5,9,0.9664364862694717,1
A,2.0,ninguna,5,9,0.9400936037441497,0
A,2.0,apertura,3,9,0.9462602137020741,1
A,2.0,apertura,5,9,0.9667469879518072,1
A,2.0,cierre,3,9,0.939233406045497,0
A,2.0,cierre,5,9,0.9390681003584229,0
A,2.0,ap>ci,3,9,0.9453689167974882,1
A,2.0,ap>ci,5,9,0.9667469879518072,1
A,2.0,ci>ap,3,9,0.9454032005020395,1
A,2.0,ci>ap,5,9,0.9618027808854084,1
A,1.0,ninguna,5,10,0.9414910349166404,0
A,1.0,apertura,3,10,0.9540669856459331,1
A,1.0,apertura,5,10,0.9793239251723006,1
A,1.0,cierre,3,10,0.9400313971742543,0
A,1.0,cierre,5,10,0.9398119122257054,0
A,1.0,ap>ci,3,10,0.9530030269236897,1
A,1.0,ap>ci,5,10,0.9793239251723006,1
A,1.0,ci>ap,3,10,0.9510645058786146,1
A,1.0,ci>ap,5,10,0.9711038961038961,1
A,2.0,ninguna,5,10,0.9452595046537309,0
A,2.0,apertura,3,10,0.9473184622686284,0
A,2.0,apertura,5,10,0.9720597790773229,1
A,2.0,cierre,3,10,0.9448123620309051,0
A,2.0,cierre,5,10,0.9449787166955699,0
A,2.0,ap>ci,3,10,0.9467193675889328,0
A,2.0,ap>ci,5,10,0.9720597790773229,1
A,2.0,ci>ap,3,10,0.9467362098941047,0
A,2.0,ci>ap,5,10,0.9708171206225681,1
A,1.0,ninguna,5,11,0.9354037267080745,0
A,1.0,apertura,3,11,0.9572132972801018,1
A,1.0,apertura,5,11,0.9834670158782125,1
A,1.0,cierre,3,11,0.9322820037105751,0
A,1.0,cierre,5,11,0.9292649098474342,0
A,1.0,ap>ci,3,11,0.9544805709754164,0
A,1.0,ap>ci,5,11,0.9829842931937173,1
A,1.0,ci>ap,3,11,0.9522906793048973,1
A,1.0,ci>ap,5,11,0.972990457706615,1
A,2.0,ninguna,5,11,0.9452033286230177,1
A,2.0,apertura,3,11,0.9484633569739953,1
A,2.0,apertura,5,11,0.974566661266807,1
A,2.0,cierre,3,11,0.9449411764705883,1
A,2.0,cierre,5,11,0.9443137254901961,1
A,2.0,ap>ci,3,11,0.9470042459506212,0
A,2.0,ap>ci,5,11,0.974566661266807,1
A,2.0,ci>ap,3,11,0.9478986305682355,1
A,2.0,ci>ap,5,11,0.974566661266807,1
A,1.0,ninguna,5,12,0.9363963119237381,0
A,1.0,apertura,3,12,0.9548572340086138,0
A,1.0,apertura,5,12,0.9840276634282892,1
A,1.0,cierre,3,12,0.9353280349072776,0
A,1.0,cierre,5,12,0.9338727244437529,0
A,1.0,ap>ci,3,12,0.9538216560509554,0
A,1.0,ap>ci,5,12,0.9840329218106996,1
A,1.0,ci>ap,3,12,0.950856055802156,0
A,1.0,ci>ap,5,12,0.978292802350253,1
A,2.0,ninguna,5,12,0.9478508217446271,0
A,2.0,apertura,3,12,0.9494693489624584,0
A,2.0,apertura,5,12,0.9794117647058823,1
A,2.0,cierre,3,12,0.9474348855564325,0
A,2.0,cierre,5,12,0.9459416863672183,0
A,2.0,ap>ci,3,12,0.9493510604621715,0
A,2.0,ap>ci,5,12,0.979578500245058,1
A,2.0,ci>ap,3,12,0.9487503954444796,0
A,2.0,ci>ap,5,12,0.974817221770918,1
A,1.0,ninguna,5,13,0.9317793317793318,0
A,1.0,apertura,3,13,0.954719387755102,1
A,1.0,apertura,5,13,0.9805077805077805,1
A,1.0,cierre,3,13,0.9308527131782945,0
