dominio,imagen,sigma_u,alfa,ganancia_borde,amp_ruido,rms_rel,d_entropia
tiroides,tiroides_705.png,2.0,0.5,1.0795629101218083,1.7754798234887552,1.0329562835497144,0.10475326566319332
tiroides,tiroides_705.png,2.0,1.0,1.1916970833594465,2.2290835947330176,1.0543602524382807,0.09317673295866769
tiroides,tiroides_705.png,2.0,1.5,1.3126994755876886,2.7413649494036543,1.0743323022904434,0.1452503872987947
tiroides,tiroides_705.png,2.0,2.0,1.40722023287929,3.256127385825934,1.0931076212511808,0.14056969404298414
tiroides,tiroides_705.png,3.0,0.5,1.1580765763124852,1.7601945876973788,1.0499126902480846,0.11331185645366126
tiroides,tiroides_705.png,3.0,1.0,1.279406253577691,2.2489233877399117,1.0832165368163453,0.1352972170988167
tiroides,tiroides_705.png,3.0,1.5,1.4357568524509052,2.8132011271199953,1.114146704270004,0.11820105229518774
tiroides,tiroides_705.png,3.0,2.0,1.6181342117241422,3.3788434614634832,1.139587305173223,0.08861195045434656
tiroides,tiroides_706.png,1.0,0.5,1.0378445290985638,1.7197555762921044,1.0205813679521905,0.009093664598135653
tiroides,tiroides_706.png,1.0,1.0,1.0447244817921695,2.1999122757980105,1.037027494471833,0.020913098080125536
tiroides,tiroides_706.png,1.0,1.5,1.0660910403741506,2.675828972207769,1.0511560244014462,0.025978614937928413
tiroides,tiroides_706.png,1.0,2.0,1.0838283970316216,3.175039884410463,1.0644183712820359,0.05065462473357485
tiroides,tiroides_706.png,1.5,0.5,1.0849710810341922,1.7641939048880442,1.0350975107428635,0.023009530868789874
tiroides,tiroides_706.png,1.5,1.0,1.1076105139439019,2.2575823381939997,1.0607577237922,0.0495014345400735
tiroides,tiroides_706.png,1.5,1.5,1.1793465559918581,2.7453547024902494,1.0861466223185645,0.09037908462490041
tiroides,tiroides_706.png,1.5,2.0,1.2788601504714756,3.244428008101588,1.1118982186405213,0.1126185367789212
tiroides,tiroides_706.png,2.0,0.5,1.142846056293632,1.7942437442753507,1.0492934424474498,0.031474715262760355
tiroides,tiroides_706.png,2.0,1.0,1.2001935261590189,2.280382030299251,1.0860595303099634,0.09664648921114605
tiroides,tiroides_706.png,2.0,1.5,1.3227050656449528,2.7833685233522685,1.1240696462453998,0.13518392555498693
tiroides,tiroides_706.png,2.0,2.0,1.4483957121249513,3.2835426816944535,1.161550471905581,0.16427122983404274
tiroides,tiroides_706.png,3.0,0.5,1.1850385708386377,1.8101545064008568,1.0744878725993559,0.07971624423034918
tiroides,tiroides_706.png,3.0,1.0,1.3927080711648467,2.3077141395072824,1.1378467021364251,0.16396942779051926
tiroides,tiroides_706.png,3.0,1.5,1.505419954208583,2.8218983689318717,1.1981540952557999,0.19825024125928525
tiroides,tiroides_706.png,3.0,2.0,1.6600312280847507,3.3434015489341937,1.250972938974944,0.22913425658199316
tiroides,tiroides_707.png,1.0,0.5,1.0295538611835775,1.7118687864056408,1.0221501220130562,0.0003754646792328842
tiroides,tiroides_707.png,1.0,1.0,1.0626976468911138,2.1519686418779833,1.0398042753170842,-0.006286579672215353
tiroides,tiroides_707.png,1.0,1.5,1.0813480209928494,2.6474576271186443,1.0546470803902064,-0.013021454728121995
tiroides,tiroides_707.png,1.0,2.0,1.134431426210783,3.1395261244689703,1.0680987839765415,0.0018660180155469774
tiroides,tiroides_707.png,1.5,0.5,1.0772150891662275,1.7527657338063327,1.0383784339156055,-0.004523426378174378
tiroides,tiroides_707.png,1.5,1.0,1.1406886692047058,2.2781675644899924,1.0657873079889877,-0.0019520137558659556
tiroides,tiroides_707.png,1.5,1.5,1.2409954292808727,2.7965313362238864,1.0912406683538136,0.025053183092938802
tiroides,tiroides_707.png,1.5,2.0,1.3498920379269188,3.3163228660272415,1.1165335116067407,0.0480840927118118
tiroides,tiroides_707.png,2.0,0.5,1.119299571215618,1.8012700915341828,1.0538989189876198,-0.011353135117539992
tiroides,tiroides_707.png,2.0,1.0,1.2578686495630667,2.3423203258441725,1.092329247003424,0.02687368664059786
tiroides,tiroides_707.png,2.0,1.5,1.3924958399049348,2.8777383611439578,1.130213607501198,0.06222457371190959
tiroides,tiroides_707.png,2.0,2.0,1.5187700554172983,3.420041168484211,1.1666877924528722,0.08750737721572133
tiroides,tiroides_707.png,3.0,0.5,1.2038114014712091,1.8296237901283232,1.0806607193128346,0.020128147087022263
tiroides,tiroides_707.png,3.0,1.0,1.4061375359312147,2.392659746857618,1.144207933200637,0.08350845202246493
tiroides,tiroides_707.png,3.0,1.5,1.5510628121358656,2.9692375071168917,1.2033437205279336,0.12288782669492893
tiroides,tiroides_707.png,3.0,2.0,1.7240470702451651,3.597363465160075,1.2573515600646372,0.16079791382058684
tiroides,tiroides_708.png,1.0,0.5,1.1050522240034417,1.5318761754276222,1.0106432173090782,-0.01276053428494528
tiroides,tiroides_708.png,1.0,1.0,1.2205714707298028,1.9094306360612059,1.0204118263168394,-0.03617029863403243
tiroides,tiroides_708.png,1.0,1.5,1.3389254342592958,2.309159297607104,1.0303480833836494,-0.06082341508432343
tiroides,tiroides_708.png,1.0,2.0,1.4540923135908335,2.732792552003153,1.0403372014823693,-0.07063501179854637
tiroides,tiroides_708.png,1.5,0.5,1.185625988047212,1.577024781974678,1.0188205540360222,-0.04247994526551757
tiroides,tiroides_708.png,1.5,1.0,1.3801921968955224,2.0480000974868697,1.0366845470054864,-0.08378751943443596
tiroides,tiroides_708.png,1.5,1.5,1.574440334355695,2.550016857104559,1.054789430777729,-0.09891965659734403
tiroides,tiroides_708.png,1.5,2.0,1.7795437875561644,3.0687566768350893,1.0731660696204075,-0.12363850434609702
tiroides,tiroides_708.png,2.0,0.5,1.2483654582472414,1.5973670421265138,1.0267785552593767,-0.06819801211924137
tiroides,tiroides_708.png,2.0,1.0,1.4963449938274596,2.1091690462940775,1.0522224468811439,-0.11746714673636482
tiroides,tiroides_708.png,2.0,1.5,1.7590470717506534,2.6585075572633814,1.0780416909419432,-0.1475095027980462
tiroides,tiroides_708.png,2.0,2.0,1.9985477159674356,3.2509758841855994,1.1038906879559718,-0.17568440508848582
tiroides,tiroides_708.png,3.0,0.5,1.3243091132415623,1.6048735310962807,1.0409060432359145,-0.10857757079526564
tiroides,tiroides_708.png,3.0,1.0,1.6480217870752796,2.160414644152616,1.0795752649870571,-0.15176489379405833
tiroides,tiroides_708.png,3.0,1.5,1.9544393476973603,2.779663426582233,1.1175707063478901,-0.205613410510745
tiroides,tiroides_708.png,3.0,2.0,2.236193412885254,3.464646792885084,1.1541303948266823,-0.29618796692620375
tiroides,tiroides_709.png,1.0,0.5,0.9537906513745644,1.758956701881255,1.0078129990169555,-0.066663831065223
tiroides,tiroides_709.png,1.0,1.0,0.9753443532538386,2.2046266502342577,1.0133362686230474,-0.09933485774655448
tiroides,tiroides_709.png,1.0,1.5,0.9817972918974981,2.713678062254533,1.017635906008205,-0.15696099383685702
tiroides,tiroides_709.png,1.0,2.0,0.9956167391860196,3.2209935213469465,1.0198575619877872,-0.1661687369513869
tiroides,tiroides_709.png,1.5,0.5,0.983546429130219,1.7554560233250691,1.012534410679408,-0.1120076222406059
tiroides,tiroides_709.png,1.5,1.0,1.0199144066102073,2.328536284773007,1.0194694195871232,-0.1866266413894051
tiroides,tiroides_709.png,1.5,1.5,1.0621572688196168,2.8328833602677777,1.0233982998177977,-0.19263512503637958
tiroides,tiroides_709.png,1.5,2.0,1.111414455215439,3.3721221305225604,1.0273172989415003,-0.18782558824428275
tiroides,tiroides_709.png,2.0,0.5,1.0208352690239346,1.8257908896039439,1.016998629027189,-0.16083568257256253
tiroides,tiroides_709.png,2.0,1.0,1.081725416056551,2.3636773429370215,1.0240813651782676,-0.20543372654578018
tiroides,tiroides_709.png,2.0,1.5,1.1488576077670445,2.905189156528286,1.030341278922134,-0.19978076876348627
tiroides,tiroides_709.png,2.0,2.0,1.2600605179084396,3.4587183680124296,1.0367900053563137,-0.2062839042142972
